mappingDOID,geneNID,Predicted Rating,True Rating
4,4926,0.9683078527450562,1.0
4,6017,0.9681410193443298,1.0
4,21104,0.9680757522583008,1.0
4,3465,0.9672068357467652,0.5
4,5888,0.9670677781105042,1.0
4,16961,0.9670007824897766,1.0
4,11655,0.965579390525818,1.0
4,18891,0.9654936790466307,1.0
4,1271,0.9654823541641236,1.0
4,2800,0.9635347723960876,1.0
4,4619,0.9594646692276,1.0
4,3491,0.9560924768447876,1.0
5,2247,0.9444637298583984,1.0
5,144,0.9306658506393432,1.0
6,68,0.9768072962760924,1.0
6,9942,0.9574598073959352,1.0
6,2611,0.9482376575469972,1.0
6,9622,0.9210261702537536,1.0
7,5083,0.960902214050293,1.0
7,2576,0.9379948377609252,1.0
7,361,0.935462772846222,0.6666666865348816
8,1488,0.975283682346344,1.0
8,9942,0.9549930095672609,0.5
8,4695,0.9546034336090088,1.0
8,2717,0.9380191564559937,1.0
8,2132,0.9124781489372252,1.0
9,5215,0.9279448986053468,1.0
10,1471,0.9722191095352172,1.0
11,1584,0.9307994842529296,1.0
12,2274,0.944282591342926,1.0
13,9095,0.9712666869163512,0.0
13,2853,0.9700502157211304,1.0
13,2590,0.9673234820365906,1.0
13,3534,0.9665893912315368,1.0
13,2658,0.9660642147064208,1.0
13,10438,0.963534653186798,1.0
13,9885,0.9614413976669312,1.0
13,2499,0.9596368670463562,1.0
13,3535,0.9592594504356384,1.0
13,2274,0.9503552317619324,1.0
13,5215,0.9499282240867616,1.0
13,1004,0.9470269083976746,1.0
13,11903,0.937541961669922,1.0
13,10642,0.9152703285217284,1.0
14,6772,0.9731858372688292,1.0
14,1037,0.939619779586792,1.0
15,7854,0.9365369081497192,1.0
16,222,0.9829270243644714,1.0
16,38,0.9734827280044556,1.0
16,21304,0.9702803492546082,1.0
16,16875,0.9682846069335938,1.0
16,4529,0.9648432731628418,1.0
16,5194,0.960921347141266,1.0
17,2067,0.9621149301528932,1.0
17,103,0.9599093198776244,1.0
19,718,0.9818832874298096,1.0
19,50,0.9748913645744324,1.0
19,4859,0.9742730855941772,1.0
19,2660,0.97386234998703,1.0
19,14239,0.971959352493286,1.0
19,12564,0.970760464668274,1.0
19,4059,0.9618832468986512,1.0
19,156,0.961426556110382,1.0
19,3345,0.9568946957588196,1.0
19,1871,0.9524278044700624,1.0
19,2066,0.948420524597168,1.0
19,174,0.9407233595848083,1.0
19,5919,0.9118834137916564,1.0
20,909,0.9654300212860109,1.0
20,10676,0.9483630657196044,1.0
21,7651,0.9785430431365968,1.0
21,17383,0.9690265655517578,1.0
21,17620,0.964219331741333,1.0
21,2604,0.9630914926528932,1.0
21,11,0.9609230160713196,1.0
22,6606,0.9599819183349608,1.0
22,816,0.9507874250411988,1.0
23,5481,0.9422526955604552,1.0
24,8960,0.9806414246559144,1.0
24,266,0.951970100402832,1.0
24,18830,0.9491592645645142,1.0
25,4525,0.9622724056243896,1.0
26,2274,0.9278448224067688,1.0
27,5463,0.9048515558242798,1.0
28,783,0.9772692918777466,1.0
28,17616,0.9730441570281982,1.0
28,63,0.9687679409980774,1.0
28,14953,0.9623950719833374,1.0
28,11598,0.9549328088760376,1.0
28,9385,0.9527676105499268,1.0
28,10900,0.9518185257911682,1.0
30,2590,0.9653581380844116,1.0
32,14595,0.9661060571670532,1.0
32,156,0.949095904827118,1.0
33,1658,0.9906615614891052,1.0
33,2598,0.9903923273086548,1.0
33,6915,0.9899734258651732,1.0
33,3590,0.9894009232521056,1.0
33,6219,0.9884105920791626,1.0
33,185,0.9878410696983336,1.0
33,4857,0.9877666234970092,1.0
33,6579,0.9871695041656494,1.0
33,5114,0.9870184063911438,1.0
